session,time,strategy,coin,event,ticker,side,contracts,price,multiplier,fee,cost,payout,pnl,result,strike,btc_price,final_value,balance_after,model_prob,edge,why,tau,yes_bid,yes_ask,mkt_prob
20260920_222952,2026-09-20T22:42:30,Late,BTC,BET,KXBTC15M-26SEP210145-45,DOWN,40,0.38,2.63,0.66,15.86,,,,81595.01,81605.49,,997.89,0.435,0.039,entry,150,0.63,0.64,0.635
20260920_222952,2026-09-20T22:42:30,Anti Late,BTC,BET,KXBTC15M-26SEP210145-45,UP,23,0.65,1.54,0.37,15.32,,,,81595.01,81605.49,,998.79,0.565,-0.101,entry,150,0.63,0.64,0.635
20260920_222952,2026-09-20T22:42:35,Late,DOGE,BET,KXDOGE15M-26SEP210145-45,UP,49,0.48,2.08,0.86,24.38,,,,0.088635,0.08865,,993.85,0.548,0.05,entry,145,0.4,0.47,0.435
20260920_222952,2026-09-20T22:42:35,Anti Late,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,5,0.61,1.64,0.09,3.14,,,,0.088635,0.08865,,997.28,0.452,-0.175,entry,145,0.4,0.47,0.435
20260920_222952,2026-09-20T22:42:41,Scalper,DOGE,SOLD,KXDOGE15M-26SEP210145-45,DOWN,1,0.57,5.88,0.01,0.18,0.55,0.37,,0.088635,0.08865,,1018.11,0.211,0.032,value,139,0.39,0.42,0.405
20260920_222952,2026-09-20T22:42:41,Scalper,DOGE,SOLD,KXDOGE15M-26SEP210145-45,DOWN,10,0.57,4.76,0.12,2.22,5.52,3.3,,0.088635,0.08865,,1018.11,0.252,0.03,value,139,0.39,0.42,0.405
20260920_222952,2026-09-20T22:42:41,Scalper,DOGE,SOLD,KXDOGE15M-26SEP210145-45,DOWN,30,0.57,2.08,0.53,14.93,16.58,1.65,,0.088635,0.08865,,1018.11,0.54,0.043,value,139,0.39,0.42,0.405
20260920_222952,2026-09-20T22:42:41,Scalper,DOGE,SOLD,KXDOGE15M-26SEP210145-45,DOWN,32,0.57,2.27,0.56,14.64,17.69,3.05,,0.088635,0.08865,,1018.11,0.521,0.064,value,139,0.39,0.42,0.405
20260920_222952,2026-09-20T22:42:41,Scalper,DOGE,SOLD,KXDOGE15M-26SEP210145-45,DOWN,5,0.57,2.04,0.09,2.54,2.76,0.22,,0.088635,0.08865,,1018.11,0.547,0.04,value,139,0.39,0.42,0.405
20260920_222952,2026-09-20T22:42:41,Scalper,DOGE,SOLD,KXDOGE15M-26SEP210145-45,DOWN,4,0.57,2.27,0.07,1.83,2.21,0.38,,0.088635,0.08865,,1018.11,0.521,0.063,value,139,0.39,0.42,0.405
20260920_222952,2026-09-20T22:42:41,Scalper,DOGE,SOLD,KXDOGE15M-26SEP210145-45,DOWN,29,0.57,2.94,0.46,10.32,16.03,5.71,,0.088635,0.08865,,1018.11,0.387,0.032,value,139,0.39,0.42,0.405
20260920_222952,2026-09-20T22:42:41,Scalper,DOGE,SOLD,KXDOGE15M-26SEP210145-45,DOWN,22,0.57,2.63,0.37,8.73,12.16,3.43,,0.088635,0.08865,,1018.11,0.438,0.041,value,139,0.39,0.42,0.405
20260920_222952,2026-09-20T22:42:41,Anti Scalper,DOGE,SOLD,KXDOGE15M-26SEP210145-45,UP,2,0.38,1.22,0.03,1.67,0.72,-0.95,,0.088635,0.08865,,987.46,0.748,-0.082,mirror,139,0.39,0.42,0.405
20260920_222952,2026-09-20T22:42:41,Anti Scalper,DOGE,SOLD,KXDOGE15M-26SEP210145-45,UP,15,0.38,1.82,0.26,8.51,5.45,-3.06,,0.088635,0.08865,,987.46,0.46,-0.107,mirror,139,0.39,0.42,0.405
20260920_222952,2026-09-20T22:42:41,Anti Scalper,DOGE,SOLD,KXDOGE15M-26SEP210145-45,UP,10,0.38,1.69,0.17,6.07,3.63,-2.44,,0.088635,0.08865,,987.46,0.479,-0.128,mirror,139,0.39,0.42,0.405
20260920_222952,2026-09-20T22:42:41,Anti Scalper,DOGE,SOLD,KXDOGE15M-26SEP210145-45,UP,4,0.38,1.85,0.07,2.23,1.45,-0.78,,0.088635,0.08865,,987.46,0.453,-0.104,mirror,139,0.39,0.42,0.405
20260920_222952,2026-09-20T22:42:41,Anti Scalper,DOGE,SOLD,KXDOGE15M-26SEP210145-45,UP,2,0.38,1.67,0.04,1.24,0.72,-0.52,,0.088635,0.08865,,987.46,0.479,-0.138,mirror,139,0.39,0.42,0.405
20260920_222952,2026-09-20T22:42:41,Anti Scalper,DOGE,SOLD,KXDOGE15M-26SEP210145-45,UP,14,0.38,1.45,0.21,9.87,5.08,-4.79,,0.088635,0.08865,,987.46,0.613,-0.092,mirror,139,0.39,0.42,0.405
20260920_222952,2026-09-20T22:42:43,Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,UP,37,0.39,2.56,0.62,15.05,,,,0.088635,0.08865,,1014.69,0.452,0.046,entry,137,0.33,0.38,0.355
20260920_222952,2026-09-20T22:42:43,Anti Scalper,DOGE,BET,KXDOGE15M-26SEP210145-45,DOWN,5,0.68,1.47,0.08,3.48,,,,0.088635,0.08865,,986.99,0.548,-0.147,entry,137,0.33,0.38,0.355
20260920_222952,2026-09-20T22:42:51,Late,BTC,BET,KXBTC15M-26SEP210145-45,DOWN,70,0.41,2.44,1.19,29.89,,,,81595.01,81597.79,,980.18,0.499,0.072,entry,129,0.6,0.61,0.605
20260920_222952,2026-09-20T22:42:51,Anti Late,BTC,BET,KXBTC15M-26SEP210145-45,UP,46,0.62,1.61,0.76,29.28,,,,81595.01,81597.79,,996.17,0.501,-0.135,entry,129,0.6,0.61,0.605
20260920_222952,2026-09-20T22:42:57,Value,BTC,BET,KXBTC15M-26SEP210145-45,DOWN,32,0.38,2.63,0.53,12.69,,,,81595.01,81598.69,,998.86,0.427,0.031,entry,123,0.63,0.64,0.635
20260920_222952,2026-09-20T22:42:57,Anti Value,BTC,BET,KXBTC15M-26SEP210145-45,UP,19,0.65,1.54,0.31,12.66,,,,81595.01,81598.69,,998.99,0.573,-0.093,entry,123,0.63,0.64,0.635
